theorem,strongest,reaches_full_choice,reaches_countable_choice,reaches_dependent_choice,axioms_reached
1arithufd,full choice,true,false,false,ax-ac2
1arithufdlem1,full choice,true,false,false,ax-ac2
1arithufdlem4,full choice,true,false,false,ax-ac2
2sqr3nconstr,full choice,true,false,false,ax-ac2
abrexctf,full choice,true,false,false,ax-ac2
abrexdom,full choice,true,false,false,ax-ac2
abrexdom2,full choice,true,false,false,ax-ac2
abrexdom2jm,full choice,true,false,false,ax-ac2
abrexdomjm,full choice,true,false,false,ax-ac2
ac2,full choice,true,false,false,ax-ac
ac3,full choice,true,false,false,ax-ac
ac4,full choice,true,false,false,ax-ac2
ac4c,full choice,true,false,false,ax-ac2
ac5,full choice,true,false,false,ax-ac2
ac5b,full choice,true,false,false,ax-ac2
ac6,full choice,true,false,false,ax-ac2
ac6c4,full choice,true,false,false,ax-ac2
ac6c5,full choice,true,false,false,ax-ac2
ac6gf,full choice,true,false,false,ax-ac2
ac6mapd,full choice,true,false,false,ax-ac2
ac6n,full choice,true,false,false,ax-ac2
ac6s,full choice,true,false,false,ax-ac2
ac6s2,full choice,true,false,false,ax-ac2
ac6s3,full choice,true,false,false,ax-ac2
ac6s3f,full choice,true,false,false,ax-ac2
ac6s4,full choice,true,false,false,ax-ac2
ac6s5,full choice,true,false,false,ax-ac2
ac6s6,full choice,true,false,false,ax-ac2
ac6s6f,full choice,true,false,false,ax-ac2
ac6sf,full choice,true,false,false,ax-ac2
ac6sf2,full choice,true,false,false,ax-ac2
ac6sg,full choice,true,false,false,ax-ac2
ac7,full choice,true,false,false,ax-ac2
ac7g,full choice,true,false,false,ax-ac2
ac8,full choice,true,false,false,ax-ac2
ac8prim,full choice,true,false,false,ax-ac2
ac9,full choice,true,false,false,ax-ac2
ac9s,full choice,true,false,false,ax-ac2
aciunf1,full choice,true,false,false,ax-ac2
aciunf1lem,full choice,true,false,false,ax-ac2
ackm,full choice,true,false,false,ax-ac2
acsdomd,full choice,true,false,false,ax-ac2
acsexdimd,full choice,true,false,false,ax-ac2
acsinfd,full choice,true,false,false,ax-ac2
acsinfdimd,full choice,true,false,false,ax-ac2
acsmap2d,full choice,true,false,false,ax-ac2
acsmapd,full choice,true,false,false,ax-ac2
acunirnmpt,full choice,true,false,false,ax-ac2
acunirnmpt2,full choice,true,false,false,ax-ac2
acunirnmpt2f,full choice,true,false,false,ax-ac2
aean,full choice,true,false,false,ax-ac2
aleph1,full choice,true,false,false,ax-ac2
aleph1irr,full choice,true,false,false,ax-ac2
aleph1re,full choice,true,false,false,ax-ac2
alephexp2,full choice,true,false,false,ax-ac2
alephom,full choice,true,false,false,ax-ac2
alephreg,full choice,true,false,false,ax-ac2
alephsucpw,full choice,true,false,false,ax-ac2
alephval2,full choice,true,false,false,ax-ac2
alexsubALT,full choice,true,false,false,ax-ac2
alexsubALTlem2,full choice,true,false,false,ax-ac2
alexsubALTlem4,full choice,true,false,false,ax-ac2
algextdeg,full choice,true,false,false,ax-ac2
algextdeglem4,full choice,true,false,false,ax-ac2
algextdeglem6,full choice,true,false,false,ax-ac2
algextdeglem8,full choice,true,false,false,ax-ac2
assafld,full choice,true,false,false,ax-ac2
assalactf1o,full choice,true,false,false,ax-ac2
assarrginv,full choice,true,false,false,ax-ac2
axac,full choice,true,false,false,ax-ac2
axac10,full choice,true,false,false,ax-ac2
axac2,full choice,true,false,false,ax-ac
axac3,full choice,true,false,false,ax-ac2
axaci,full choice,true,false,false,ax-ac2
axacnd,full choice,true,false,false,ax-ac
axacndlem4,full choice,true,false,false,ax-ac
axacndlem5,full choice,true,false,false,ax-ac
axacprim,full choice,true,false,false,ax-ac
axdc,full choice,true,false,false,ax-ac2
axdclem2,full choice,true,false,false,ax-ac2
bayesth,full choice,true,false,false,ax-ac2
bdayfin,full choice,true,false,true,ax-ac2 ax-dc
bdayfinbnd,full choice,true,false,true,ax-ac2 ax-dc
bdayfinbndlem1,full choice,true,false,true,ax-ac2 ax-dc
bdayfinbndlem2,full choice,true,false,true,ax-ac2 ax-dc
bdayfinlem,full choice,true,false,true,ax-ac2 ax-dc
bj-grur1,full choice,true,false,false,ax-ac2
bj-pwcfsdom,full choice,true,false,false,ax-ac2
boolesineq,full choice,true,false,false,ax-ac2
borelmbl,full choice,true,true,false,ax-ac2 ax-cc
bormflebmf,full choice,true,true,false,ax-ac2 ax-cc
brdom3,full choice,true,false,false,ax-ac2
brdom4,full choice,true,false,false,ax-ac2
brdom5,full choice,true,false,false,ax-ac2
brdom6disj,full choice,true,false,false,ax-ac2
brdom7disj,full choice,true,false,false,ax-ac2
canth3,full choice,true,false,false,ax-ac2
carageniuncl,full choice,true,false,false,ax-ac2
carageniuncllem2,full choice,true,false,false,ax-ac2
caragensal,full choice,true,false,false,ax-ac2
caragenunicl,full choice,true,false,false,ax-ac2
caratheodory,full choice,true,false,false,ax-ac2
caratheodorylem2,full choice,true,false,false,ax-ac2
carddom,full choice,true,false,false,ax-ac2
carden,full choice,true,false,false,ax-ac2
cardeq0,full choice,true,false,false,ax-ac2
cardeqv,full choice,true,false,false,ax-ac2
cardf,full choice,true,false,false,ax-ac2
cardid,full choice,true,false,false,ax-ac2
cardidd,full choice,true,false,false,ax-ac2
cardidg,full choice,true,false,false,ax-ac2
cardmin,full choice,true,false,false,ax-ac2
cardsdom,full choice,true,false,false,ax-ac2
cardval,full choice,true,false,false,ax-ac2
carsgclctun,full choice,true,false,false,ax-ac2
carsgclctunlem2,full choice,true,false,false,ax-ac2
carsgclctunlem3,full choice,true,false,false,ax-ac2
carsgsiga,full choice,true,false,false,ax-ac2
ccfldextdgrr,full choice,true,false,false,ax-ac2
cfpwsdom,full choice,true,false,false,ax-ac2
cldssbrsiga,full choice,true,false,false,ax-ac2
cmpcref,full choice,true,false,false,ax-ac2
cmpfiref,full choice,true,false,false,ax-ac2
cmppcmp,full choice,true,false,false,ax-ac2
cndprob01,full choice,true,false,false,ax-ac2
cndprobin,full choice,true,false,false,ax-ac2
cndprobnul,full choice,true,false,false,ax-ac2
cndprobprob,full choice,true,false,false,ax-ac2
cndprobtot,full choice,true,false,false,ax-ac2
cnmbfm,full choice,true,false,false,ax-ac2
coinflippvt,full choice,true,false,false,ax-ac2
constrcon,full choice,true,false,false,ax-ac2
constrelextdg2,full choice,true,false,false,ax-ac2
constrext2chn,full choice,true,false,false,ax-ac2
constrext2chnlem,full choice,true,false,false,ax-ac2
constrextdg2,full choice,true,false,false,ax-ac2
constrextdg2lem,full choice,true,false,false,ax-ac2
cos9thpinconstr,full choice,true,false,false,ax-ac2
cos9thpinconstrlem2,full choice,true,false,false,ax-ac2
ctbssinf,full choice,true,true,false,ax-ac2 ax-cc
ctvonmbl,full choice,true,true,false,ax-ac2 ax-cc
cyc3genpm,full choice,true,false,false,ax-ac2
cyc3genpmlem,full choice,true,false,false,ax-ac2
decsmf,full choice,true,true,false,ax-ac2 ax-cc
dflring3,full choice,true,false,false,ax-ac2
dflring4,full choice,true,false,false,ax-ac2
dflringlem,full choice,true,false,false,ax-ac2
dfufd2,full choice,true,false,false,ax-ac2
dfuniv2,full choice,true,false,false,ax-ac2
dfz12s2,full choice,true,false,true,ax-ac2 ax-dc
difelsiga,full choice,true,false,false,ax-ac2
dimcl,full choice,true,false,false,ax-ac2
dimkerim,full choice,true,false,false,ax-ac2
dimlssid,full choice,true,false,false,ax-ac2
dimpropd,full choice,true,false,false,ax-ac2
dimval,full choice,true,false,false,ax-ac2
disjinfi,full choice,true,false,false,ax-ac2
dmct,full choice,true,false,false,ax-ac2
dmovnsal,full choice,true,true,false,ax-ac2 ax-cc
dmvon,full choice,true,true,false,ax-ac2 ax-cc
dominfac,full choice,true,false,false,ax-ac2
domtri,full choice,true,false,false,ax-ac2
drngdimgt0,full choice,true,false,false,ax-ac2
drngmxidlr,full choice,true,false,false,ax-ac2
dstfrvclim1,full choice,true,false,false,ax-ac2
dstfrvinc,full choice,true,false,false,ax-ac2
dstfrvunirn,full choice,true,false,false,ax-ac2
dstrvprob,full choice,true,false,false,ax-ac2
dya2icobrsiga,full choice,true,false,false,ax-ac2
dya2iocbrsiga,full choice,true,false,false,ax-ac2
dya2iocct,full choice,true,false,false,ax-ac2
dynkin,full choice,true,false,false,ax-ac2
eln0s2,full choice,true,false,false,ax-ac2
elnanelprv,full choice,true,false,false,ax-ac2
elrgspnsubrun,full choice,true,false,false,ax-ac2
elrgspnsubrunlem2,full choice,true,false,false,ax-ac2
elrspunidl,full choice,true,false,false,ax-ac2
elwspths2on,full choice,true,false,false,ax-ac2
elwspths2spth,full choice,true,false,false,ax-ac2
elwwlks2,full choice,true,false,false,ax-ac2
elwwlks2on,full choice,true,false,false,ax-ac2
entri2,full choice,true,false,false,ax-ac2
entri3,full choice,true,false,false,ax-ac2
entric,full choice,true,false,false,ax-ac2
esumiun,full choice,true,false,false,ax-ac2
eulerpart,full choice,true,false,false,ax-ac2
eulerpartgbij,full choice,true,false,false,ax-ac2
eulerpartlem1,full choice,true,false,false,ax-ac2
eulerpartlemgf,full choice,true,false,false,ax-ac2
eulerpartlemgs2,full choice,true,false,false,ax-ac2
eulerpartlemgvv,full choice,true,false,false,ax-ac2
eulerpartlemn,full choice,true,false,false,ax-ac2
ex-sategoel,full choice,true,false,false,ax-ac2
ex-sategoelel,full choice,true,false,false,ax-ac2
ex-sategoelel12,full choice,true,false,false,ax-ac2
ex-sategoelelomsuc,full choice,true,false,false,ax-ac2
extdg1b,full choice,true,false,false,ax-ac2
extdg1id,full choice,true,false,false,ax-ac2
extdgcl,full choice,true,false,false,ax-ac2
extdgfialg,full choice,true,false,false,ax-ac2
extdgfialglem1,full choice,true,false,false,ax-ac2
extdggt0,full choice,true,false,false,ax-ac2
extdgid,full choice,true,false,false,ax-ac2
extdgmul,full choice,true,false,false,ax-ac2
fedgmul,full choice,true,false,false,ax-ac2
ffsrn,full choice,true,false,false,ax-ac2
ficard,full choice,true,false,false,ax-ac2
filssufil,full choice,true,false,false,ax-ac2
filufint,full choice,true,false,false,ax-ac2
fimact,full choice,true,false,false,ax-ac2
fin71ac,full choice,true,false,false,ax-ac2
finextalg,full choice,true,false,false,ax-ac2
finexttrb,full choice,true,false,false,ax-ac2
fldext2chn,full choice,true,false,false,ax-ac2
fldext2rspun,full choice,true,false,false,ax-ac2
fldextrspundgdvds,full choice,true,false,false,ax-ac2
fldextrspundgdvdslem,full choice,true,false,false,ax-ac2
fldextrspundgle,full choice,true,false,false,ax-ac2
fldextrspundglemul,full choice,true,false,false,ax-ac2
fldextrspunfld,full choice,true,false,false,ax-ac2
fldextrspunlem1,full choice,true,false,false,ax-ac2
fldextrspunlem2,full choice,true,false,false,ax-ac2
fldextrspunlsp,full choice,true,false,false,ax-ac2
fldextrspunlsplem,full choice,true,false,false,ax-ac2
fldlring,full choice,true,false,false,ax-ac2
fnct,full choice,true,false,false,ax-ac2
fnpreimac,full choice,true,false,false,ax-ac2
fnrndomg,full choice,true,false,false,ax-ac2
fodom,full choice,true,false,false,ax-ac2
fodomb,full choice,true,false,false,ax-ac2
fodomg,full choice,true,false,false,ax-ac2
foresf1o,full choice,true,false,false,ax-ac2
fpwrelmapffs,full choice,true,false,false,ax-ac2
fpwrelmapffslem,full choice,true,false,false,ax-ac2
frgr2wwlkeqm,full choice,true,false,false,ax-ac2
frlmdim,full choice,true,false,false,ax-ac2
fsumiunle,full choice,true,false,false,ax-ac2
fsumiunss,full choice,true,false,false,ax-ac2
gch-kn,full choice,true,false,false,ax-ac2
grothprim,full choice,true,true,false,ax-ac2 ax-cc
grucollcld,full choice,true,false,false,ax-ac2
gruex,full choice,true,false,false,ax-ac2
gruina,full choice,true,false,false,ax-ac2
grumnud,full choice,true,false,false,ax-ac2
grumnudlem,full choice,true,false,false,ax-ac2
grumnueq,full choice,true,false,false,ax-ac2
grur1,full choice,true,false,false,ax-ac2
grur1a,full choice,true,false,false,ax-ac2
grurankcld,full choice,true,false,false,ax-ac2
gruscottcld,full choice,true,false,false,ax-ac2
grutsk,full choice,true,false,false,ax-ac2
grutsk1,full choice,true,false,false,ax-ac2
hausmapdom,full choice,true,true,false,ax-ac2 ax-cc
hauspwdom,full choice,true,true,false,ax-ac2 ax-cc
hgt750lema,full choice,true,false,false,ax-ac2
hgt750leme,full choice,true,false,false,ax-ac2
hoimbl,full choice,true,true,false,ax-ac2 ax-cc
hoimbl2,full choice,true,true,false,ax-ac2 ax-cc
hoimbllem,full choice,true,true,false,ax-ac2 ax-cc
hspmbl,full choice,true,true,false,ax-ac2 ax-cc
iccvonmbl,full choice,true,true,false,ax-ac2 ax-cc
iccvonmbllem,full choice,true,true,false,ax-ac2 ax-cc
imadomg,full choice,true,false,false,ax-ac2
imambfm,full choice,true,false,false,ax-ac2
inaex,full choice,true,false,false,ax-ac2
inagrud,full choice,true,false,false,ax-ac2
inaprc,full choice,true,false,false,ax-ac2
inar1,full choice,true,false,false,ax-ac2
inatsk,full choice,true,false,false,ax-ac2
indexdom,full choice,true,false,false,ax-ac2
inelsiga,full choice,true,false,false,ax-ac2
infinf,full choice,true,false,false,ax-ac2
infinfg,full choice,true,false,false,ax-ac2
infmap,full choice,true,false,false,ax-ac2
infxpidm,full choice,true,false,false,ax-ac2
ioovonmbl,full choice,true,true,false,ax-ac2 ax-cc
islinds4,full choice,true,false,false,ax-ac2
issmfge,full choice,true,true,false,ax-ac2 ax-cc
issmfgelem,full choice,true,true,false,ax-ac2 ax-cc
issmfgt,full choice,true,true,false,ax-ac2 ax-cc
issmfgtd,full choice,true,true,false,ax-ac2 ax-cc
issmfgtlem,full choice,true,true,false,ax-ac2 ax-cc
issmfle,full choice,true,true,false,ax-ac2 ax-cc
issmfle2d,full choice,true,true,false,ax-ac2 ax-cc
issmfled,full choice,true,true,false,ax-ac2 ax-cc
issmflelem,full choice,true,true,false,ax-ac2 ax-cc
isvonmbl,full choice,true,true,false,ax-ac2 ax-cc
iundom,full choice,true,false,false,ax-ac2
kardcard,full choice,true,false,false,ax-ac2
konigth,full choice,true,false,false,ax-ac2
konigthlem,full choice,true,false,false,ax-ac2
krull,full choice,true,false,false,ax-ac2
krullndrng,full choice,true,false,false,ax-ac2
lbsex,full choice,true,false,false,ax-ac2
lbsext,full choice,true,false,false,ax-ac2
lbslelsp,full choice,true,false,false,ax-ac2
ldgenpisys,full choice,true,false,false,ax-ac2
ldsysgenld,full choice,true,false,false,ax-ac2
lmicdim,full choice,true,false,false,ax-ac2
lmimdim,full choice,true,false,false,ax-ac2
locfinref,full choice,true,false,false,ax-ac2
locfinreflem,full choice,true,false,false,ax-ac2
lsatdim,full choice,true,false,false,ax-ac2
lssdimle,full choice,true,false,false,ax-ac2
lvecdim,full choice,true,false,false,ax-ac2
lvecdim0,full choice,true,false,false,ax-ac2
lvecdim0i,full choice,true,false,false,ax-ac2
lvecendof1f1o,full choice,true,false,false,ax-ac2
lvecisfrlm,full choice,true,false,false,ax-ac2
madefi,full choice,true,false,false,ax-ac2
matdim,full choice,true,false,false,ax-ac2
mbfmco2,full choice,true,false,false,ax-ac2
mbfpsssmf,full choice,true,true,false,ax-ac2 ax-cc
mblvon,full choice,true,true,false,ax-ac2 ax-cc
meascnbl,full choice,true,false,false,ax-ac2
measinb,full choice,true,false,false,ax-ac2
measinb2,full choice,true,false,false,ax-ac2
measinblem,full choice,true,false,false,ax-ac2
measiun,full choice,true,false,false,ax-ac2
measiuns,full choice,true,false,false,ax-ac2
measssd,full choice,true,false,false,ax-ac2
measun,full choice,true,false,false,ax-ac2
measunl,full choice,true,false,false,ax-ac2
measvuni,full choice,true,false,false,ax-ac2
measvunilem,full choice,true,false,false,ax-ac2
measxun2,full choice,true,false,false,ax-ac2
minregex,full choice,true,false,false,ax-ac2
minregex2,full choice,true,false,false,ax-ac2
mpocti,full choice,true,false,false,ax-ac2
mptct,full choice,true,false,false,ax-ac2
mptctf,full choice,true,false,false,ax-ac2
mxidlnzrb,full choice,true,false,false,ax-ac2
n0cutlt,full choice,true,false,false,ax-ac2
nlpfvineqsn,full choice,true,false,false,ax-ac2
nmobndseqiALT,full choice,true,false,false,ax-ac2
nmounbseqiALT,full choice,true,false,false,ax-ac2
nsssmfmbf,full choice,true,true,false,ax-ac2 ax-cc
nsssmfmbflem,full choice,true,true,false,ax-ac2 ax-cc
numth,full choice,true,false,false,ax-ac2
numth2,full choice,true,false,false,ax-ac2
numth3,full choice,true,false,false,ax-ac2
numthcor,full choice,true,false,false,ax-ac2
oldfi,full choice,true,false,false,ax-ac2
oldfib,full choice,true,false,false,ax-ac2
omeiunle,full choice,true,false,false,ax-ac2
omeiunlempt,full choice,true,false,false,ax-ac2
omeiunltfirp,full choice,true,false,false,ax-ac2
omsmeas,full choice,true,true,false,ax-ac2 ax-cc
omssubadd,full choice,true,true,false,ax-ac2 ax-cc
ondomon,full choice,true,false,false,ax-ac2
onltn0s,full choice,true,false,false,ax-ac2
onsfi,full choice,true,false,false,ax-ac2
opnvonmbl,full choice,true,true,false,ax-ac2 ax-cc
opnvonmbllem2,full choice,true,true,false,ax-ac2 ax-cc
orrvccel,full choice,true,false,false,ax-ac2
orvccel,full choice,true,false,false,ax-ac2
orvcgteel,full choice,true,false,false,ax-ac2
orvclteel,full choice,true,false,false,ax-ac2
ovnome,full choice,true,true,false,ax-ac2 ax-cc
ovnsplit,full choice,true,true,false,ax-ac2 ax-cc
ovnsubadd,full choice,true,true,false,ax-ac2 ax-cc
ovnsubadd2,full choice,true,true,false,ax-ac2 ax-cc
ovnsubadd2lem,full choice,true,true,false,ax-ac2 ax-cc
ovnsubaddlem1,full choice,true,false,false,ax-ac2
ovnsubaddlem2,full choice,true,true,false,ax-ac2 ax-cc
pcmplfinf,full choice,true,false,false,ax-ac2
permac8prim,full choice,true,false,false,ax-ac2
pibt2,full choice,true,false,false,ax-ac2
pmeasadd,full choice,true,false,false,ax-ac2
prob01,full choice,true,false,false,ax-ac2
probdif,full choice,true,false,false,ax-ac2
probdsb,full choice,true,false,false,ax-ac2
probinc,full choice,true,false,false,ax-ac2
probmeasb,full choice,true,false,false,ax-ac2
probtotrnd,full choice,true,false,false,ax-ac2
probun,full choice,true,false,false,ax-ac2
probvalrnd,full choice,true,false,false,ax-ac2
