library,module,declaration,generated_term,occurrences,outcome,kernel_reason
Batteries,Batteries.Data.Char.AsciiCasing,Char.toLower_eq_of_not_isUpper,_private.Batteries.Data.Char.AsciiCasing.0.Char.toLower_eq_of_not_isUpper._proof_1_4,1,removed,
Batteries,Batteries.Data.String.Lemmas,String.Legacy.Iterator.hasNext_cons_addChar,_private.Batteries.Data.String.Lemmas.0.String.Legacy.Iterator.hasNext_cons_addChar._proof_1_3,2,removed,
Batteries,Batteries.Data.String.Lemmas,String.splitAux_of_valid,_private.Batteries.Data.String.Lemmas.0.String.splitAux_of_valid._proof_1_4,2,removed,
Init,Init.Data.Array.Extract,Array.extract_eq_self_iff,_private.Init.Data.Array.Extract.0.Array.extract_eq_self_iff._proof_1_1,2,removed,
Init,Init.Data.Array.Lemmas,Array.back?_eq_none_iff,_private.Init.Data.Array.Lemmas.0.Array.back?_eq_none_iff._proof_1_3,3,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.carry_succ,_private.Init.Data.BitVec.Bitblast.0.BitVec.carry_succ._proof_1_4,2,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.carry_succ,_private.Init.Data.BitVec.Bitblast.0.BitVec.carry_succ._proof_1_5,2,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.intMin_udiv_ne_zero_of_ne_zero,_private.Init.Data.BitVec.Bitblast.0.BitVec.intMin_udiv_ne_zero_of_ne_zero._proof_1_4,4,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.saddOverflow_eq,_private.Init.Data.BitVec.Bitblast.0.BitVec.saddOverflow_eq._proof_1_8,10,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.sdivOverflow_eq,_private.Init.Data.BitVec.Bitblast.0.BitVec.sdivOverflow_eq._proof_1_1,2,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.sdivOverflow_eq,_private.Init.Data.BitVec.Bitblast.0.BitVec.sdivOverflow_eq._proof_1_3,2,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.sdivOverflow_eq,_private.Init.Data.BitVec.Bitblast.0.BitVec.sdivOverflow_eq._proof_1_5,2,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.ssubOverflow_eq,_private.Init.Data.BitVec.Bitblast.0.BitVec.ssubOverflow_eq._proof_1_4,14,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.ult_eq_not_carry,_private.Init.Data.BitVec.Bitblast.0.BitVec.ult_eq_not_carry._proof_1_7,2,removed,
Init,Init.Data.BitVec.Bitblast,BitVec.umulOverflow_eq,_private.Init.Data.BitVec.Bitblast.0.BitVec.umulOverflow_eq._proof_1_5,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.clzAuxRec_eq_iff_of_getLsbD_false,_private.Init.Data.BitVec.Lemmas.0.BitVec.clzAuxRec_eq_iff_of_getLsbD_false._proof_1_4,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.clzAuxRec_eq_iff_of_getLsbD_false,_private.Init.Data.BitVec.Lemmas.0.BitVec.clzAuxRec_eq_iff_of_getLsbD_false._proof_1_5,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.clzAuxRec_eq_zero_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.clzAuxRec_eq_zero_iff._proof_1_3,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.clzAuxRec_eq_zero_iff,_private.Init.Data.BitVec.Lemmas.0.BitVec.clzAuxRec_eq_zero_iff._proof_1_5,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.getLsbD_false_of_clzAuxRec,_private.Init.Data.BitVec.Lemmas.0.BitVec.getLsbD_false_of_clzAuxRec._proof_1_3,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.getLsbD_false_of_clzAuxRec,_private.Init.Data.BitVec.Lemmas.0.BitVec.getLsbD_false_of_clzAuxRec._proof_1_6,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.getLsbD_intMax,_private.Init.Data.BitVec.Lemmas.0.BitVec.getLsbD_intMax._proof_1_1,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.getLsbD_intMin,_private.Init.Data.BitVec.Lemmas.0.BitVec.getLsbD_intMin._proof_1_2,4,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.getLsbD_shiftConcat_eq_decide,_private.Init.Data.BitVec.Lemmas.0.BitVec.getLsbD_shiftConcat_eq_decide._proof_1_1,2,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.getLsbD_shiftConcat_eq_decide,_private.Init.Data.BitVec.Lemmas.0.BitVec.getLsbD_shiftConcat_eq_decide._proof_1_2,3,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.getLsbD_true_of_eq_clzAuxRec_of_ne_zero,_private.Init.Data.BitVec.Lemmas.0.BitVec.getLsbD_true_of_eq_clzAuxRec_of_ne_zero._proof_1_2,1,removed,
Init,Init.Data.BitVec.Lemmas,BitVec.getLsbD_true_of_eq_clzAuxRec_of_ne_zero,_private.Init.Data.BitVec.Lemmas.0.BitVec.getLsbD_true_of_eq_clzAuxRec_of_ne_zero._proof_1_7,1,removed,
