family,goal_index,goal,shape,tactic,closed,classical,axioms
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,aesop,true,false,propext Quot.sound
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,decide,true,false,propext
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,grind,true,true,propext Classical.choice Quot.sound
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,linarith,false,false,sorryAx
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,norm_num,true,false,propext
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,omega,true,false,propext Quot.sound
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,positivity,false,false,sorryAx
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,rfl,false,false,sorryAx
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,simp,true,false,propext Quot.sound
dvd_nat,0,(3 : Nat) ∣ 12,equality/divisibility,trivial,true,false,propext
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,aesop,true,false,propext Quot.sound
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,decide,true,false,propext
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,grind,true,true,propext Classical.choice Quot.sound
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,linarith,false,false,sorryAx
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,norm_num,true,false,propext
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,omega,true,false,propext Quot.sound
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,positivity,false,false,sorryAx
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,rfl,false,false,sorryAx
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,simp,true,false,propext Quot.sound
dvd_nat,1,(5 : Nat) ∣ 40,equality/divisibility,trivial,true,false,propext
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,aesop,true,false,propext
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,decide,true,false,propext
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,grind,true,true,propext Classical.choice Quot.sound
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,linarith,false,false,sorryAx
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,norm_num,true,false,propext
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,omega,true,false,propext Quot.sound
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,positivity,false,false,sorryAx
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,rfl,false,false,sorryAx
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,simp,true,false,propext
dvd_nat,2,(1 : Nat) ∣ 7,equality/divisibility,trivial,true,false,propext
eq_int,0,(2 : Int) + 3 = 5,equality/divisibility,aesop,true,false,propext
