rank,site,kind,theorems_dominated,area,eligible,chain_length,chain,constant_alone
1,Classical.propDecidable,definition,91858,classical logic,true,1,Classical.propDecidable,
2,Classical.byContradiction,theorem,23550,classical logic,true,1,Classical.byContradiction,
3,CategoryTheory.Functor.category,definition,5271,category theory,true,1,CategoryTheory.Functor.category,
4,Std.DHashMap.Internal.Raw.WF.out,theorem,4899,Std: hash maps,true,3,Std.DHashMap.Internal.Raw₀.isHashSelf_updateBucket_alter > Std.DHashMap.Internal.Raw₀.wfImp_alterₘ > Std.DHashMap.Internal.Raw.WF.out,4892
5,Classical.indefiniteDescription,definition,4711,classical logic,true,1,Classical.indefiniteDescription,
6,Set.instCompleteAtomicBooleanAlgebra,definition,3430,sets,true,1,Set.instCompleteAtomicBooleanAlgebra,
7,lt_or_eq_of_le,theorem,2018,order / root namespace,true,1,lt_or_eq_of_le,
8,Set.image_univ,theorem,1484,sets,true,2,_private.Mathlib.Data.Set.Image.0.Set.image_univ._proof_1_1 > Set.image_univ,1483
9,GroupWithZero.toDivisionMonoid,definition,1290,GroupWithZero,true,1,GroupWithZero.toDivisionMonoid,
10,eq_or_lt_of_le,theorem,1221,order / root namespace,true,1,eq_or_lt_of_le,
11,LE.le.eq_or_lt,theorem,1179,LE,true,1,LE.le.eq_or_lt,
12,CategoryTheory.Functor.comp,definition,1112,category theory,true,1,CategoryTheory.Functor.comp,
13,String.toList,definition,1111,strings,true,2,String.Internal.toArray > String.toList,1109
14,AddAction.orbitRel,definition,1044,AddAction,true,2,AddAction.orbitRel._proof_3 > AddAction.orbitRel,1041
15,QuotientAddGroup.leftRel,definition,1009,QuotientAddGroup,true,1,QuotientAddGroup.leftRel,
16,map_sub,theorem,856,order / root namespace,true,3,_private.Mathlib.Algebra.Group.Hom.Defs.0.map_sub'._proof_1_2 > map_sub' > map_sub,853
17,Classical.not_not,theorem,792,classical logic,true,1,Classical.not_not,
18,GeneralizedBooleanAlgebra.toGeneralizedCoheytingAlgebra,definition,722,GeneralizedBooleanAlgebra,true,2,GeneralizedBooleanAlgebra.toGeneralizedCoheytingAlgebra._proof_8 > GeneralizedBooleanAlgebra.toGeneralizedCoheytingAlgebra,721
19,String.compare,definition,702,strings,true,2,String.compare > String.instOrd,
20,Filter.comap,definition,662,filters,true,2,Filter.comap._proof_2 > Filter.comap,660
21,CategoryTheory.Functor.fromPUnit,definition,616,category theory,true,1,CategoryTheory.Functor.fromPUnit,
22,LE.le.lt_or_eq,theorem,583,LE,true,2,LE.le.lt_or_eq > contravariant_le_iff_contravariant_lt_and_eq,
23,List.nodup_range,theorem,534,lists,true,6,_private.Init.Data.List.Nat.Range.0.List.pairwise_lt_range'._proof_1_4 > List.pairwise_lt_range'._f > List.pairwise_lt_range' > List.nodup_range' > _private.Init.Data.List.Nat.Range.0.List.nodup_range._simp_1_1 > List.nodup_range,514
24,Nat.testBit_two_pow_sub_succ,theorem,520,Nat,true,2,_private.Init.Data.Nat.Bitwise.Lemmas.0.Nat.testBit_two_pow_sub_succ._proof_1_3 > Nat.testBit_two_pow_sub_succ,519
25,subset_interior_iff_isOpen,theorem,511,order / root namespace,true,1,subset_interior_iff_isOpen,
26,Classical.not_forall,theorem,497,classical logic,true,1,Classical.not_forall,
27,Classical.em,theorem,476,classical logic,true,1,Classical.em,
28,CategoryTheory.instCompleteLatticePresieve,definition,450,category theory,true,1,CategoryTheory.instCompleteLatticePresieve,
29,Nat.mul_lt_mul_left,theorem,440,Nat,true,2,_private.Init.Data.Nat.Mod.0.Nat.mul_lt_mul_left._proof_1_1 > Nat.mul_lt_mul_left,439
30,MulAction.orbitRel,definition,423,MulAction,true,2,MulAction.orbitRel._proof_3 > MulAction.orbitRel,420
31,Array.foldrM_congr,theorem,410,arrays,true,1,Array.foldrM_congr,
