module,library,declarations,theorems,spends,spend_rate_pct,choice,propDecidable,byContradiction,em,indefiniteDescription,byCases,statement_names_primitive
Batteries.Data.List.Lemmas,Batteries,881,837,168,19.1,0,2,166,0,0,0,0
Mathlib.Topology.EMetricSpace.BoundedVariation,Mathlib,268,262,108,40.3,0,2,104,2,0,0,0
Mathlib.Algebra.Homology.SpectralObject.HasSpectralSequence,Mathlib,291,228,85,29.2,0,0,85,0,0,0,0
Mathlib.AlgebraicTopology.SimplexCategory.DeltaZeroIter,Mathlib,251,219,85,33.9,0,0,85,0,0,0,0
Mathlib.Algebra.BigOperators.Group.Finset.Basic,Mathlib,373,361,79,21.2,0,46,41,0,0,0,20
Mathlib.MeasureTheory.VectorMeasure.Basic,Mathlib,331,269,69,20.8,0,67,3,0,0,0,25
Mathlib.Algebra.Homology.SpectralObject.SpectralSequence,Mathlib,290,211,64,22.1,0,8,56,0,0,0,1
Mathlib.Data.Finset.Card,Mathlib,264,246,63,23.9,0,15,50,1,0,0,3
Mathlib.NumberTheory.NumberField.CanonicalEmbedding.Basic,Mathlib,257,228,62,24.1,0,62,0,0,0,0,38
Mathlib.RingTheory.Polynomial.Resultant.Basic,Mathlib,235,226,59,25.1,0,6,51,5,0,0,0
Mathlib.Logic.Basic,Mathlib,365,308,58,15.9,1,39,16,1,0,1,0
Mathlib.Algebra.BigOperators.Finprod,Mathlib,352,340,57,16.2,0,43,14,0,0,0,2
Mathlib.AlgebraicTopology.SimplexCategory.GeneratorsRelations.NormalForms,Mathlib,213,180,57,26.8,0,0,57,0,0,0,0
Mathlib.Topology.Sets.VietorisTopology,Mathlib,322,291,57,17.7,0,3,51,4,0,0,0
Mathlib.GroupTheory.Nilpotent,Mathlib,432,364,54,12.5,0,34,18,2,0,0,13
Mathlib.RingTheory.MvPolynomial.MonomialOrder,Mathlib,232,224,54,23.3,0,47,5,6,0,0,0
Mathlib.Analysis.SumIntegralComparisons,Mathlib,85,85,53,62.4,0,0,53,0,0,0,0
Std.Tactic.BVDecide.LRAT.Internal.Formula.RupAddResult,Std,237,225,53,22.4,0,0,53,0,0,0,0
Mathlib.Data.Finset.Basic,Mathlib,244,238,52,21.3,0,5,49,0,0,0,2
Mathlib.CategoryTheory.Limits.Shapes.Biproducts,Mathlib,411,273,50,12.2,1,49,0,2,0,0,25
Mathlib.Combinatorics.SimpleGraph.Paths,Mathlib,392,337,50,12.8,0,7,46,0,0,0,3
Std.Tactic.BVDecide.LRAT.Internal.Formula.Lemmas,Std,238,221,50,21.0,0,1,49,0,0,0,0
Mathlib.Algebra.Homology.Factorizations.CM5a,Mathlib,201,162,49,24.4,0,0,48,1,0,0,0
Mathlib.Data.List.Sort,Mathlib,336,308,48,14.3,0,1,47,0,0,0,0
Mathlib.Data.Finsupp.Single,Mathlib,154,146,47,30.5,0,37,34,0,0,0,0
Mathlib.Order.Interval.Set.LinearOrder,Mathlib,217,215,46,21.2,0,0,46,0,0,0,0
Mathlib.Data.Set.Image,Mathlib,464,431,45,9.7,0,1,44,0,0,0,0
Init.Data.BitVec.Lemmas,Init,2051,2025,44,2.1,0,41,3,0,0,0,0
Mathlib.Data.List.Basic,Mathlib,484,429,44,9.1,0,1,43,0,0,0,0
Mathlib.Data.Set.Insert,Mathlib,203,195,44,21.7,0,0,44,0,0,0,0
Mathlib.LinearAlgebra.AffineSpace.Combination,Mathlib,127,119,44,34.6,32,12,0,0,0,0,5
Mathlib.Order.ConditionallyCompleteLattice.Basic,Mathlib,279,241,44,15.8,0,40,4,0,0,0,6
Mathlib.Data.Set.Prod,Mathlib,384,356,42,10.9,0,4,38,0,0,0,0
Mathlib.NumberTheory.Chebyshev,Mathlib,266,244,42,15.8,0,1,42,0,0,0,0
Mathlib.Data.List.Chain,Mathlib,215,200,41,19.1,0,0,41,0,0,0,0
Mathlib.AlgebraicTopology.ExtraDegeneracy,Mathlib,171,137,40,23.4,0,0,40,0,0,0,0
Mathlib.Combinatorics.SimpleGraph.Acyclic,Mathlib,179,154,40,22.3,0,14,28,1,0,0,4
Mathlib.Probability.Process.HittingTime,Mathlib,102,98,40,39.2,0,32,11,0,0,0,4
Mathlib.Algebra.Polynomial.RuleOfSigns,Mathlib,70,68,39,55.7,0,0,37,2,0,0,0
Mathlib.Analysis.SpecialFunctions.ContinuousFunctionalCalculus.Rpow.IntegralRepresentation,Mathlib,109,107,39,35.8,0,0,39,0,0,0,0
Mathlib.NumberTheory.NumberField.CanonicalEmbedding.NormLeOne,Mathlib,160,145,38,23.8,0,38,0,0,0,0,18
Mathlib.Algebra.Homology.HomotopyCategory.MappingCone,Mathlib,201,185,37,18.4,0,0,37,0,0,0,0
Mathlib.Analysis.SpecialFunctions.Artanh,Mathlib,81,79,37,45.7,0,2,37,0,0,0,0
Mathlib.Analysis.SpecialFunctions.Trigonometric.Chebyshev.RootsExtrema,Mathlib,76,76,37,48.7,0,0,31,6,0,0,0
Mathlib.NumberTheory.Modular,Mathlib,173,155,37,21.4,0,1,34,3,0,0,0
Mathlib.NumberTheory.Padics.PadicNumbers,Mathlib,312,241,37,11.9,0,37,2,0,0,0,8
Mathlib.Algebra.Homology.HomotopyCategory.HomComplexShift,Mathlib,186,166,36,19.4,0,0,36,0,0,0,0
Mathlib.MeasureTheory.Function.SimpleFunc,Mathlib,497,400,36,7.2,1,35,2,0,0,0,15
Mathlib.CategoryTheory.Triangulated.TStructure.TruncLTGE,Mathlib,237,206,35,14.8,0,0,35,0,0,0,0
Mathlib.Order.SuccPred.Basic,Mathlib,408,354,35,8.6,0,31,4,0,0,0,13
Batteries.Data.Fin.Lemmas,Batteries,180,178,34,18.9,0,0,34,0,0,0,0
Mathlib.Algebra.Homology.HomotopyCategory.MappingCocone,Mathlib,135,122,34,25.2,0,0,34,0,0,0,0
Mathlib.Algebra.Homology.TotalComplexShift,Mathlib,100,88,34,34.0,0,0,34,0,0,0,0
Mathlib.MeasureTheory.Integral.SetToL1,Mathlib,184,177,34,18.5,0,34,0,0,0,0,1
Mathlib.Order.SuccPred.Limit,Mathlib,295,269,34,11.5,0,30,2,0,2,0,10
Init.Classical,Init,67,47,33,49.3,5,20,0,5,4,1,2
Mathlib.Algebra.Ring.Int.Parity,Mathlib,96,94,33,34.4,0,0,33,0,0,0,0
Mathlib.Order.RelSeries,Mathlib,382,309,33,8.6,0,0,31,2,0,0,0
Mathlib.Algebra.Homology.HomotopyCategory.HomComplex,Mathlib,316,257,32,10.1,0,0,32,0,0,0,0
Mathlib.Analysis.Analytic.Order,Mathlib,133,121,32,24.1,0,16,16,0,0,0,0
Mathlib.Data.List.Lattice,Mathlib,112,103,32,28.6,0,0,32,0,0,0,0
Mathlib.Analysis.BoxIntegral.Partition.Basic,Mathlib,221,180,31,14.0,0,31,0,0,0,0,20
Mathlib.Algebra.Polynomial.Roots,Mathlib,210,202,30,14.3,0,25,5,0,0,0,0
Mathlib.Algebra.Ring.Parity,Mathlib,186,181,30,16.1,0,0,30,0,0,0,0
Mathlib.CategoryTheory.GlueData,Mathlib,172,116,30,17.4,0,30,0,0,0,0,31
Mathlib.CategoryTheory.NatIso,Mathlib,152,144,30,19.7,0,0,30,0,0,0,0
Mathlib.Data.Finset.Insert,Mathlib,260,242,30,11.5,0,0,30,0,0,0,0
Mathlib.Data.List.Cycle,Mathlib,442,389,30,6.8,0,0,30,0,0,0,0
Mathlib.CategoryTheory.Functor.Category,Mathlib,118,107,29,24.6,0,0,29,0,0,0,0
Mathlib.Data.Finsupp.Basic,Mathlib,373,335,29,7.8,0,23,7,0,0,0,3
Mathlib.RingTheory.HahnSeries.Basic,Mathlib,185,153,29,15.7,0,29,0,0,0,0,8
Mathlib.Topology.FiberBundle.Trivialization,Mathlib,355,285,29,8.2,0,29,0,0,0,0,19
Mathlib.AlgebraicTopology.SimplicialObject.DeltaZeroIter,Mathlib,123,95,28,22.8,0,0,28,0,0,0,0
Mathlib.Geometry.Euclidean.Angle.Unoriented.TriangleInequality,Mathlib,50,49,28,56.0,0,6,22,0,0,0,0
