label,role,dependents,share_of_library_pct
ax-mp,axiom,47562,99.88
wi,syntax constructor,47560,99.87
ax-1,axiom,47449,99.64
ax-2,axiom,47428,99.59
wn,syntax constructor,47276,99.28
ax-3,axiom,47221,99.16
wb,syntax constructor,47039,98.78
df-bi,definition,47036,98.77
wa,syntax constructor,45864,96.31
df-an,definition,45835,96.25
wal,syntax constructor,44820,94.12
ax-gen,axiom,44537,93.52
ax-4,axiom,44501,93.45
cv,syntax constructor,44410,93.26
wex,syntax constructor,44361,93.15
df-ex,definition,44315,93.06
wceq,syntax constructor,44262,92.95
ax-5,axiom,44067,92.54
ax-6,axiom,43859,92.1
ax-7,axiom,43787,91.95
wcel,syntax constructor,43165,90.64
ax-9,axiom,42398,89.03
ax-ext,axiom,42325,88.88
df-cleq,definition,42311,88.85
wsb,syntax constructor,42204,88.62
df-sb,definition,42191,88.6
ax-8,axiom,42120,88.45
df-clel,definition,42045,88.29
wtru,syntax constructor,42000,88.2
df-tru,definition,41970,88.13
cab,syntax constructor,41847,87.88
df-clab,definition,41839,87.86
wo,syntax constructor,41216,86.55
df-or,definition,41207,86.53
cvv,syntax constructor,40979,86.05
df-v,definition,40704,85.47
wss,syntax constructor,40114,84.24
df-ss,definition,40047,84.1
w3a,syntax constructor,39676,83.32
df-3an,definition,39652,83.27
csn,syntax constructor,39283,82.49
cdif,syntax constructor,39245,82.41
df-dif,definition,39225,82.37
wfal,syntax constructor,39200,82.32
cun,syntax constructor,39172,82.26
df-un,definition,39166,82.25
df-fal,definition,39163,82.24
c0,syntax constructor,39151,82.21
crab,syntax constructor,39150,82.21
df-rab,definition,39149,82.21
df-sn,definition,39139,82.19
df-nul,definition,39024,81.95
cpr,syntax constructor,38865,81.61
df-pr,definition,38827,81.53
cop,syntax constructor,38687,81.24
wral,syntax constructor,38541,80.93
df-ral,definition,38458,80.76
cif,syntax constructor,38421,80.68
df-if,definition,38415,80.67
df-op,definition,38324,80.48
wbr,syntax constructor,38288,80.4
df-br,definition,38043,79.89
cin,syntax constructor,37840,79.46
df-in,definition,37813,79.4
wrex,syntax constructor,37798,79.37
df-rex,definition,37723,79.22
copab,syntax constructor,37257,78.24
df-opab,definition,37256,78.23
ax-sep,axiom,37162,78.04
ax-12,axiom,36916,77.52
ax-pr,axiom,36828,77.34
cuni,syntax constructor,36618,76.89
df-uni,definition,36576,76.81
wnf,syntax constructor,36560,76.77
df-nf,definition,36558,76.77
cxp,syntax constructor,36351,76.33
ax-10,axiom,36165,75.94
df-xp,definition,36115,75.84
ax-11,axiom,35916,75.42
cdm,syntax constructor,35830,75.24
ccnv,syntax constructor,35765,75.1
df-dm,definition,35660,74.88
df-cnv,definition,35654,74.87
wne,syntax constructor,35543,74.64
wrel,syntax constructor,35451,74.44
df-rel,definition,35439,74.42
df-ne,definition,35399,74.33
cfv,syntax constructor,35278,74.08
cio,syntax constructor,35243,74.01
df-iota,definition,35231,73.98
wmo,syntax constructor,35091,73.69
df-mo,definition,35065,73.63
df-fv,definition,35023,73.55
ccom,syntax constructor,34763,73.0
df-co,definition,34689,72.84
df-nfc,definition,34674,72.81
wnfc,syntax constructor,34674,72.81
weu,syntax constructor,34649,72.76
df-eu,definition,34643,72.75
cid,syntax constructor,34579,72.61
wfun,syntax constructor,34345,72.12
df-id,definition,34260,71.94
df-fun,definition,34174,71.76
ax-nul,axiom,34035,71.47
crn,syntax constructor,34016,71.43
df-rn,definition,33809,71.0
cres,syntax constructor,33054,69.41
df-res,definition,33015,69.33
cmpt,syntax constructor,32675,68.61
df-mpt,definition,32638,68.54
cpw,syntax constructor,32596,68.45
wsbc,syntax constructor,32592,68.44
df-sbc,definition,32571,68.4
df-pw,definition,32497,68.24
wfn,syntax constructor,32453,68.15
df-fn,definition,32236,67.69
cima,syntax constructor,32010,67.22
df-ima,definition,31954,67.1
wf,syntax constructor,31737,66.64
df-f,definition,31667,66.5
ax-un,axiom,31580,66.32
co,syntax constructor,31261,65.65
df-ov,definition,30838,64.76
csb,syntax constructor,30644,64.35
df-csb,definition,30604,64.27
wfo,syntax constructor,29969,62.93
df-fo,definition,29918,62.83
wf1,syntax constructor,29688,62.34
df-f1,definition,29670,62.3
wf1o,syntax constructor,29620,62.2
ax-pow,axiom,29579,62.11
df-f1o,definition,29545,62.04
wreu,syntax constructor,28516,59.88
df-reu,definition,28510,59.87
ciun,syntax constructor,27768,58.31
df-iun,definition,27756,58.29
coprab,syntax constructor,27686,58.14
df-oprab,definition,27683,58.13
cmpo,syntax constructor,26875,56.44
df-mpo,definition,26805,56.29
w3o,syntax constructor,26790,56.26
df-3or,definition,26604,55.87
wpo,syntax constructor,25843,54.27
df-po,definition,25832,54.24
wor,syntax constructor,25796,54.17
df-so,definition,25785,54.15
c2nd,syntax constructor,25420,53.38
df-2nd,definition,25128,52.77
crio,syntax constructor,23960,50.31
df-riota,definition,23947,50.29
cep,syntax constructor,23656,49.68
df-eprel,definition,23436,49.21
wfr,syntax constructor,23409,49.16
df-fr,definition,23393,49.12
wtr,syntax constructor,23348,49.03
con0,syntax constructor,23343,49.02
df-tr,definition,23337,49.01
cen,syntax constructor,23290,48.91
wwe,syntax constructor,23285,48.9
df-we,definition,23272,48.87
csuc,syntax constructor,23267,48.86
wpss,syntax constructor,23228,48.78
df-en,definition,23226,48.77
df-pss,definition,23225,48.77
df-suc,definition,23216,48.75
word,syntax constructor,23208,48.73
df-ord,definition,23201,48.72
df-on,definition,23137,48.59
cc,syntax constructor,22731,47.73
cdom,syntax constructor,22638,47.54
df-dom,definition,22512,47.27
df-er,definition,22464,47.17
wer,syntax constructor,22464,47.17
com,syntax constructor,22252,46.73
cr,syntax constructor,22187,46.59
