verdict,meaning,library,module,declaration,proposition
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Algebra.Order.Nonneg.Lattice,Nonneg.conditionallyCompleteLinearOrder._aux_1,Classical.propDecidable (sSup (Subtype.val '' t) ∈ Set.Ici a)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Algebra.Order.Nonneg.Lattice,Nonneg.conditionallyCompleteLinearOrder._aux_3,Classical.propDecidable (sInf (Subtype.val '' t) ∈ Set.Ici a)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Order.PiLex,Pi.Lex.linearOrder,Classical.decRel fun x1 x2 => x1 < x2
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Order.UpperLower.CompleteLattice,LowerSet.instLinearOrder,Classical.propDecidable (a = b)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Order.UpperLower.CompleteLattice,LowerSet.instLinearOrder,Classical.propDecidable (a ≤ b)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Order.UpperLower.CompleteLattice,LowerSet.instLinearOrder,Classical.propDecidable (a < b)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Order.UpperLower.CompleteLattice,UpperSet.instLinearOrder,Classical.propDecidable (a = b)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Order.UpperLower.CompleteLattice,UpperSet.instLinearOrder,Classical.propDecidable (a ≤ b)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.Order.UpperLower.CompleteLattice,UpperSet.instLinearOrder,Classical.propDecidable (a < b)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.HahnSeries.Lex,HahnSeries.instLinearOrderLex,Classical.decRel LE.le a b
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.HahnSeries.Lex,HahnSeries.instLinearOrderLex,Classical.decRel LE.le
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.Valuation.ValuationRing,ValuationRing.instLinearOrderIdealOfDecidableLE,Classical.propDecidable (a < b)
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.Valuation.ValuationSubring,ValuationSubring.instLinearOrderedCommGroupWithZeroValueGroup._aux_25,Classical.decRel LE.le a b
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.Valuation.ValuationSubring,ValuationSubring.instLinearOrderedCommGroupWithZeroValueGroup._aux_27,Classical.decRel LE.le a b
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.Valuation.ValuationSubring,ValuationSubring.instLinearOrderedCommGroupWithZeroValueGroup._aux_29,Classical.decRel LE.le
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.Valuation.ValuationSubring,ValuationSubring.instLinearOrderedCommGroupWithZeroValueGroup._aux_32,Classical.decRel LE.le
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.Valuation.ValuationSubring,ValuationSubring.instLinearOrderedCommGroupWithZeroValueGroup._aux_34,Classical.decRel LE.le
choice-needed,instance exists but needs choice,Mathlib,Mathlib.RingTheory.Valuation.ValuationSubring,ValuationSubring.instLinearOrderedCommGroupWithZeroValueGroup._aux_36,Classical.decRel LE.le
no-instance,no Decidable instance found,Batteries,Batteries.Data.List.Lemmas,List.Sublist.erase_diff_erase_sublist._f,Classical.propDecidable (b = a)
no-instance,no Decidable instance found,Init,Init.Data.List.Count,List.count_erase._f,Classical.propDecidable (c = b)
no-instance,no Decidable instance found,Init,Init.Data.List.Count,List.count_erase._f,Classical.propDecidable (b = a)
no-instance,no Decidable instance found,Init,Init.Data.List.Erase,List.erase_eq_eraseP._f,Classical.propDecidable (a = b)
no-instance,no Decidable instance found,Init,Init.Data.List.Sublist,List.isSublist_iff_sublist._f,Classical.propDecidable (head✝¹ = head✝)
no-instance,no Decidable instance found,Init,Init.Grind.Ring.Field,Lean.Grind.Field.noNatZeroDivisors.ofIsCharPZero,Classical.propDecidable (b = 0)
no-instance,no Decidable instance found,Init,Init.While,_private.Init.While.0.whileM.Pred,"Classical.propDecidable (∃ g, whileM.body f g = g)"
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Category.Ring.Under.Limits,CommRingCat.Under.tensorProductFanIsLimit,Classical.propDecidable (a = b)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Colimit.Ring,Field.DirectLimit.inv,Classical.propDecidable (p = 0)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.DirectSum.Finsupp,finsuppLEquivDirectSum,Classical.decPred fun m => m ≠ 0
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Field.IsField,IsField.toSemifield,Classical.propDecidable (a = 0)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.GroupWithZero.Range,MonoidWithZeroHom.ValueGroup₀.embedding,Classical.decPred fun b => b = 0
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.GroupWithZero.Range,MonoidWithZeroHom.ValueGroup₀.restrict₀,Classical.decPred (fun b => b = 0) (f a)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.GroupWithZero.Units.Basic,Ring.inverse,"Classical.propDecidable (∃ u, ↑u = x)"
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.GroupWithZero.Units.Basic,groupWithZeroOfIsUnitOrEqZero,Classical.propDecidable (a = 0)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.DifferentialObject,HomologicalComplex.dgoToHomologicalComplex,Classical.propDecidable (i + b = j)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.double,Classical.propDecidable (k = i₀)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.double,Classical.propDecidable (k = i₁)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.double,Classical.propDecidable (k' = i₀)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.double,Classical.propDecidable (k' = i₁)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.double,Classical.propDecidable (i₀ = i₁)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.evalCompCoyonedaCorepresentable,"Classical.propDecidable (∃ k, c.Rel j k)"
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.evalCompCoyonedaCorepresentable,Classical.propDecidable (a = b)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.evalCompCoyonedaCorepresentative,"Classical.propDecidable (∃ k, c.Rel j k)"
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.evalCompCoyonedaCorepresentative,Classical.propDecidable (a = b)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.mkHomFromDouble,Classical.propDecidable (k = i₀)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Double,HomologicalComplex.mkHomFromDouble,Classical.propDecidable (k = i₁)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Embedding.Basic,ComplexShape.Embedding.r,"Classical.propDecidable (∃ i, e.f i = i')"
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Homology.Embedding.HomEquiv,ComplexShape.Embedding.liftExtend.f,"Classical.propDecidable (∃ i, e.f i = i')"
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Lie.Loop,LieAlgebra.LoopAlgebra.toFinsupp,Classical.propDecidable (a = b)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Lie.Weights.Chain,LieModule.chainTopCoeff,Classical.propDecidable (α = 0)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.Lie.Weights.Chain,LieModule.chainTopCoeff,Classical.propDecidable (LieModule.genWeightSpace M (a • α + ⇑β) = ⊥)
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.MonoidAlgebra.Division,AddMonoidAlgebra.modOf,"Classical.decPred (fun g₁ => ∃ g₂, g₁ = g + g₂) a"
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.MvPolynomial.Basic,MvPolynomial.coeffs,Classical.decEq R
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.MvPolynomial.Degrees,MvPolynomial.degreeOf,Classical.decEq σ
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.MvPolynomial.Degrees,MvPolynomial.degrees,Classical.decEq σ
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.MvPolynomial.PDeriv,MvPolynomial.pderiv,Classical.decEq σ
no-instance,no Decidable instance found,Mathlib,Mathlib.Algebra.MvPolynomial.Variables,MvPolynomial.vars,Classical.decEq σ
