library,attribution,tactic,proofs,classical,eligible,rate_pct,role,band_low_pct,band_high_pct,band_widest,position,escapes_band,controls_in_band
Batteries,loose,grind,182,179,149,83.2,candidate,23.1,81.8,refine,above band,true,12
Batteries,loose,refine,36,11,9,81.8,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,cases,111,39,30,76.9,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,induction,171,68,51,75.0,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,apply,94,54,38,70.4,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,simp_all,32,10,7,70.0,candidate,23.1,81.8,refine,inside band,false,12
Batteries,loose,simp,616,222,151,68.0,candidate,23.1,81.8,refine,inside band,false,12
Batteries,loose,omega,24,19,12,63.2,candidate,23.1,81.8,refine,inside band,false,12
Batteries,loose,rw,229,99,58,58.6,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,exact,133,54,30,55.6,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,unfold,49,18,9,50.0,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,rfl,145,39,19,48.7,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,funext,37,8,3,37.5,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,ext,30,17,6,35.3,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,obtain,22,10,3,30.0,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,intro,34,13,3,23.1,known-negative,23.1,81.8,refine,inside band,false,12
Batteries,loose,simpa,40,23,5,21.7,not examined,23.1,81.8,refine,below band,false,12
Batteries,strict,grind,74,74,69,93.2,candidate,83.3,83.3,rw,above band,true,1
Batteries,strict,rw,28,12,10,83.3,known-negative,83.3,83.3,rw,inside band,false,1
Batteries,strict,simp,165,57,42,73.7,candidate,83.3,83.3,rw,below band,false,1
Init,loose,trivial,23,2,2,100.0,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,norm_cast,46,28,28,100.0,candidate,45.0,100.0,trivial,inside band,false,24
Init,loose,subst,516,175,164,93.7,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,assumption,150,58,52,89.7,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,rcases,923,338,300,88.8,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,constructor,367,153,128,83.7,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,left,38,12,10,83.3,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,intro,866,348,285,81.9,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,right,42,11,9,81.8,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,decide,302,52,41,78.8,candidate,45.0,100.0,trivial,inside band,false,24
Init,loose,ext,377,141,107,75.9,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,contradiction,103,36,27,75.0,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,rintro,318,113,84,74.3,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,grind,42,32,23,71.9,candidate,45.0,100.0,trivial,inside band,false,24
Init,loose,cases,1721,220,158,71.8,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,omega,1144,654,462,70.6,candidate,45.0,100.0,trivial,inside band,false,24
Init,loose,simp_all,838,202,141,69.8,candidate,45.0,100.0,trivial,inside band,false,24
Init,loose,apply,964,306,210,68.6,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,induction,966,133,91,68.4,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,funext,150,25,17,68.0,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,rfl,1488,398,261,65.6,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,rwa,179,51,33,64.7,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,exact,1285,468,289,61.8,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,refine,324,145,89,61.4,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,rw,3339,1222,735,60.1,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,simpa,831,407,238,58.5,not examined,45.0,100.0,trivial,inside band,false,24
Init,loose,obtain,285,103,60,58.3,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,show,203,117,67,57.3,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,unfold,143,30,17,56.7,known-negative,45.0,100.0,trivial,inside band,false,24
Init,loose,simp,8428,3115,1519,48.8,candidate,45.0,100.0,trivial,inside band,false,24
Init,loose,change,64,20,9,45.0,known-negative,45.0,100.0,trivial,inside band,false,24
